OrgId,X-Coord,Y-Coord,Angle,Curvature,PLC-Bits,PLC-Word,PLC-Word2,ChangeTime,Remark
11,45366,22011,18000,0,0,0,0,1697729246, 
12,50976,22011,18000,0,0,0,0,1697729213, 
13,56586,22011,18000,0,0,0,0,1697726657, 
14,62196,22011,18000,0,0,0,0,1697724729, 
15,67174,22011,18000,0,0,0,0,1697727706, 
16,46166,21211,9000,0,0,0,0,1697729281, 
17,51776,21211,9000,0,0,0,0,1697729281, 
18,57386,21211,9000,0,0,0,0,1697732727, 
19,62996,21211,9000,0,0,0,0,1697732820, 
20,63496,3036,9090,0,0,0,0,1697729732, 
21,57887,3036,9020,0,0,0,0,1697731265, 
21001,46166,21111,9000,0,0,0,0,1697731435, 
21002,46166,21011,9000,0,0,0,0,1697731462, 
21003,46166,20911,9000,0,0,0,0,1697731462, 
21004,46166,20811,9000,0,0,0,0,1697731462, 
21005,46166,20711,9000,0,0,0,0,1697731462, 
21006,46166,20611,9000,0,0,0,0,1697731462, 
21007,46166,20511,9000,0,0,0,0,1697731462, 
21008,46166,20411,9000,0,0,0,0,1697731462, 
21009,46166,20311,9000,0,0,0,0,1697731462, 
21010,46166,20211,9000,0,0,0,0,1697731462, 
21011,46166,20111,9000,0,0,0,0,1697731462, 
21012,46166,20011,9000,0,0,0,0,1697731462, 
21013,46166,19911,9000,0,0,0,0,1697731462, 
21014,46166,19811,9000,0,0,0,0,1697731462, 
21015,46166,19711,9000,0,0,0,0,1697731462, 
21016,46166,19611,9000,0,0,0,0,1697731462, 
21017,46166,19511,9000,0,0,0,0,1697731462, 
21018,46166,19411,9000,0,0,0,0,1697731462, 
21019,46166,19311,9000,0,0,0,0,1697731462, 
21020,46166,19211,9000,0,0,0,0,1697731463, 
21021,46166,19111,9000,0,0,0,0,1697731463, 
21022,46166,19011,9000,0,0,0,0,1697731463, 
21023,46166,18911,9000,0,0,0,0,1697731463, 
21024,46166,18811,9000,0,0,0,0,1697731463, 
21025,46166,18711,9000,0,0,0,0,1697731463, 
21026,46166,18611,9000,0,0,0,0,1697731463, 
21027,46166,18511,9000,0,0,0,0,1697731463, 
21028,46166,18411,9000,0,0,0,0,1697731463, 
21029,46166,18311,9000,0,0,0,0,1697731463, 
21030,46166,18211,9000,0,0,0,0,1697731463, 
21031,46166,18111,9000,0,0,0,0,1697731463, 
21032,46166,18011,9000,0,0,0,0,1697731463, 
21033,46166,17911,9000,0,0,0,0,1697731463, 
21034,46166,17811,9000,0,0,0,0,1697731463, 
21035,46166,17711,9000,0,0,0,0,1697731463, 
21036,46166,17611,9000,0,0,0,0,1697731463, 
21037,46166,17511,9000,0,0,0,0,1697731463, 
21038,46166,17411,9000,0,0,0,0,1697731463, 
21039,46166,17311,9000,0,0,0,0,1697731463, 
21040,46166,17211,9000,0,0,0,0,1697731463, 
21041,46166,17111,9000,0,0,0,0,1697731463, 
21042,46166,17011,9000,0,0,0,0,1697731463, 
21043,46166,16911,9000,0,0,0,0,1697731463, 
21044,46166,16811,9000,0,0,0,0,1697731463, 
21045,46166,16711,9000,0,0,0,0,1697731463, 
21046,46166,16611,9000,0,0,0,0,1697731463, 
21047,46166,16511,9000,0,0,0,0,1697731463, 
21048,46166,16411,9000,0,0,0,0,1697731463, 
21049,46166,16311,9000,0,0,0,0,1697731463, 
21050,46166,16211,9000,0,0,0,0,1697731463, 
21051,46166,16111,9000,0,0,0,0,1697731463, 
21052,46166,16011,9000,0,0,0,0,1697731463, 
21053,46166,15911,9000,0,0,0,0,1697731463, 
21054,46166,15811,9000,0,0,0,0,1697731463, 
21055,46166,15711,9000,0,0,0,0,1697731463, 
21056,46166,15611,9000,0,0,0,0,1697731463, 
21057,46166,15511,9000,0,0,0,0,1697731463, 
21058,46166,15411,9000,0,0,0,0,1697731463, 
21059,46166,15311,9000,0,0,0,0,1697731463, 
21060,46166,15211,9000,0,0,0,0,1697731463, 
21061,46166,15111,9000,0,0,0,0,1697731463, 
21062,46166,15011,9000,0,0,0,0,1697731463, 
21063,46166,14911,9000,0,0,0,0,1697731463, 
21064,46166,14811,9000,0,0,0,0,1697731463, 
21065,46166,14711,9000,0,0,0,0,1697731463, 
21066,46166,14611,9000,0,0,0,0,1697731463, 
21067,46166,14511,9000,0,0,0,0,1697731463, 
21068,46166,14411,9000,0,0,0,0,1697731463, 
21069,46166,14311,9000,0,0,0,0,1697731463, 
21070,46166,14211,9000,0,0,0,0,1697731463, 
21071,46166,14111,9000,0,0,0,0,1697731463, 
21072,46166,14011,9000,0,0,0,0,1697731463, 
21073,46166,13911,9000,0,0,0,0,1697731463, 
21074,46166,13811,9000,0,0,0,0,1697731463, 
21075,46166,13711,9000,0,0,0,0,1697731463, 
21076,46166,13611,9000,0,0,0,0,1697731463, 
21077,46166,13511,9000,0,0,0,0,1697731463, 
21078,46166,13411,9000,0,0,0,0,1697731463, 
21079,46166,13311,9000,0,0,0,0,1697731463, 
21080,46166,13211,9000,0,0,0,0,1697731463, 
21081,46166,13111,9000,0,0,0,0,1697731463, 
21082,46166,13011,9000,0,0,0,0,1697731463, 
21083,46166,12911,9000,0,0,0,0,1697731463, 
21084,46166,12811,9000,0,0,0,0,1697731463, 
21085,46166,12711,9000,0,0,0,0,1697731463, 
21086,46166,12611,9000,0,0,0,0,1697731463, 
21087,46166,12511,9000,0,0,0,0,1697731463, 
21088,46166,12411,9000,0,0,0,0,1697731463, 
21089,46166,12311,9000,0,0,0,0,1697731463, 
21090,46166,12211,9000,0,0,0,0,1697731463, 
21091,46166,12111,9000,0,0,0,0,1697731463, 
21092,46166,12011,9000,0,0,0,0,1697731463, 
21093,46166,11911,9000,0,0,0,0,1697731463, 
21094,46166,11811,9000,0,0,0,0,1697731463, 
21095,46166,11711,9000,0,0,0,0,1697731463, 
21096,46166,11611,9000,0,0,0,0,1697731463, 
21097,46166,11511,9000,0,0,0,0,1697731463, 
21098,46166,11411,9000,0,0,0,0,1697731463, 
21099,46166,11311,9000,0,0,0,0,1697731463, 
21100,46166,11211,9000,0,0,0,0,1697731463, 
21101,46166,11111,9000,0,0,0,0,1697731463, 
21102,46166,11011,9000,0,0,0,0,1697731487, 
21103,46166,10911,9000,0,0,0,0,1697731487, 
21104,46166,10811,9000,0,0,0,0,1697731487, 
21105,46166,10711,9000,0,0,0,0,1697731488, 
21106,46166,10611,9000,0,0,0,0,1697731488, 
21107,46166,10511,9000,0,0,0,0,1697731488, 
21108,46166,10411,9000,0,0,0,0,1697731488, 
21109,46166,10311,9000,0,0,0,0,1697731488, 
21110,46166,10211,9000,0,0,0,0,1697731488, 
21111,46166,10111,9000,0,0,0,0,1697731488, 
21112,46166,10011,9000,0,0,0,0,1697731488, 
21113,46166,9911,9000,0,0,0,0,1697731488, 
21114,46166,9811,9000,0,0,0,0,1697731488, 
21115,46166,9711,9000,0,0,0,0,1697731488, 
21116,46166,9611,9000,0,0,0,0,1697731488, 
21117,46166,9511,9000,0,0,0,0,1697731488, 
21118,46166,9411,9000,0,0,0,0,1697731488, 
21119,46166,9311,9000,0,0,0,0,1697731488, 
21120,46166,9211,9000,0,0,0,0,1697731488, 
21121,46166,9111,9000,0,0,0,0,1697731488, 
21122,46166,9011,9000,0,0,0,0,1697731488, 
21123,46166,8911,9000,0,0,0,0,1697731488, 
21124,46166,8811,9000,0,0,0,0,1697731488, 
21125,46166,8711,9000,0,0,0,0,1697731488, 
21126,46166,8611,9000,0,0,0,0,1697731488, 
21127,46166,8511,9000,0,0,0,0,1697731488, 
21128,46166,8411,9000,0,0,0,0,1697731488, 
21129,46166,8311,9000,0,0,0,0,1697731488, 
21130,46166,8211,9000,0,0,0,0,1697731488, 
21131,46166,8111,9000,0,0,0,0,1697731488, 
21132,46166,8011,9000,0,0,0,0,1697731488, 
21133,46166,7911,9000,0,0,0,0,1697731488, 
21134,46166,7811,9000,0,0,0,0,1697731488, 
21135,46166,7711,9000,0,0,0,0,1697731488, 
21136,46166,7611,9000,0,0,0,0,1697731488, 
21137,46166,7511,9000,0,0,0,0,1697731488, 
21138,46166,7411,9000,0,0,0,0,1697731488, 
21139,46166,7311,9000,0,0,0,0,1697731488, 
21140,46166,7211,9000,0,0,0,0,1697731488, 
21141,46166,7111,9000,0,0,0,0,1697731488, 
21142,46166,7011,9000,0,0,0,0,1697731488, 
